,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12023,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19849346.0,19849346.0,False,,1,,,,2025-04-10T15:57:00.000Z,78761.27938942243,67045966163.36785,6.6162,-3.11114922,2.20425181,-3.92284348,-3.35789153,-18.36471847,-16.07980267,1563359886003.3145,62.5202,1653986867177.87,,2025-04-10T15:57:00.000Z,,,,,,2025-04-10 15:59:00.861855
1,1027,Ethereum,ETH,ethereum,10118,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120680830.78496061,120680830.78496061,True,,2,,,,2025-04-10T15:57:00.000Z,1500.9178868517379,30911709857.539463,-1.2365,-4.19886151,1.10338165,-15.66611282,-21.80366074,-43.42388008,-53.78327853,181132017525.27524,7.2314,181132017525.28,,2025-04-10T15:57:00.000Z,,,,,,2025-04-10 15:59:00.861855
2,825,Tether USDt,USDT,tether,123562,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'telos-ecosystem', 'world-liberty-financial-portfolio']",,144371007893.20065,148858996005.5019,True,,3,,,,2025-04-10T15:56:00.000Z,0.9994704570843383,117851192906.05495,11.7482,0.00245004,0.02357912,-0.01710006,-0.01860269,-0.08676052,-0.09069529,144294557248.74387,5.767,148780168778.73,,2025-04-10T15:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-04-10 15:59:00.861855
3,52,XRP,XRP,xrp,1584,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58274974538.0,99986277500.0,False,,4,,,,2025-04-10T15:57:00.000Z,1.9384556609781334,7195453365.788883,-2.3638,-3.54026749,5.79246967,-3.12761381,-9.29677186,-20.06705269,-15.37948582,112963454286.54268,4.5138,193845566097.81,,2025-04-10T15:57:00.000Z,,,,,,2025-04-10 15:59:00.861855
4,1839,BNB,BNB,bnb,2463,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,142470821.35,142470821.35,False,,5,,,,2025-04-10T15:57:00.000Z,568.6175057205185,1953533572.6568568,9.3816,-1.58594794,1.27283542,-2.82693497,3.65711577,-8.80015556,-17.96776983,81011403073.99059,3.2397,81011403073.99,,2025-04-10T15:57:00.000Z,,,,,,2025-04-10 15:59:00.861855
0,1,Bitcoin,BTC,bitcoin,12025,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19849793.0,19849793.0,False,,1,,,,2025-04-11T15:58:00.000Z,82470.78541193852,44018927249.64972,-35.0444,0.55516026,4.71329991,-0.45214106,0.95495403,-15.16622907,-12.61203433,1637028018974.3992,62.6991,1731886493650.71,,2025-04-11T15:58:00.000Z,,,,,,2025-04-11 15:59:29.087790
1,1027,Ethereum,ETH,ethereum,10119,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120682974.7307658,120682974.7307658,True,,2,,,,2025-04-11T15:58:00.000Z,1565.4474263001298,17968405604.96996,-42.297,0.51616446,4.47601603,-12.75853749,-16.21269828,-41.09531472,-52.11901534,188922852190.52094,7.2359,188922852190.52,,2025-04-11T15:58:00.000Z,,,,,,2025-04-11 15:59:29.087790
2,825,Tether USDt,USDT,tether,123774,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'telos-ecosystem', 'world-liberty-financial-portfolio']",,144342486102.14392,148858996002.87717,True,,3,,,,2025-04-11T15:57:00.000Z,0.9993485193981019,75050064708.96263,-36.0642,-0.00830234,0.00288549,-0.02962001,-0.04061401,-0.08494697,-0.02392072,144248449772.4186,5.5248,148762017254.56,,2025-04-11T15:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-04-11 15:59:29.087790
3,52,XRP,XRP,xrp,1587,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58274974538.0,99986277500.0,False,,4,,,,2025-04-11T15:58:00.000Z,2.002761680297536,3546036772.546395,-50.7482,0.03558488,3.43351079,-5.90393164,-8.35636778,-17.311162,-16.81124883,116710885925.02101,4.4701,200276168029.75,,2025-04-11T15:58:00.000Z,,,,,,2025-04-11 15:59:29.087790
4,1839,BNB,BNB,bnb,2464,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,142470745.2,142470745.2,False,,5,,,,2025-04-11T15:58:00.000Z,585.1281611637843,1414648321.084335,-27.6319,0.28470341,2.95287482,-1.52560118,6.1268026,-2.99462633,-15.8297248,83363645158.51004,3.1929,83363645158.51,,2025-04-11T15:58:00.000Z,,,,,,2025-04-11 15:59:29.087790
0,1,Bitcoin,BTC,bitcoin,12025,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19850287.0,19850287.0,False,,1,,,,2025-04-12T15:58:00.000Z,85020.03026409686,28667175521.258923,-34.8753,0.13689109,3.09108836,2.97202514,4.88603927,-12.37800639,-10.52144499,1687672001491.0085,62.3434,1785420635546.03,,2025-04-12T15:58:00.000Z,,,,,,2025-04-12 15:59:20.725043
1,1027,Ethereum,ETH,ethereum,10120,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120685534.72809424,120685534.72809424,True,,2,,,,2025-04-12T15:58:00.000Z,1655.0455845766785,12066171720.15597,-32.8478,-0.01510907,5.72348562,-7.10984211,-11.68570007,-37.86156726,-49.61817957,199740061374.00775,7.3785,199740061374.01,,2025-04-12T15:58:00.000Z,,,,,,2025-04-12 15:59:20.725043
2,825,Tether USDt,USDT,tether,123855,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'telos-ecosystem', 'world-liberty-financial-portfolio']",,144389286100.93747,149858996001.63074,True,,3,,,,2025-04-12T15:57:00.000Z,0.9996692722852826,56467647469.41249,-24.76,0.01775666,0.0320962,-0.00519291,-0.01155216,-0.05190936,0.02111772,144341532562.3156,5.332,149809433478.35,,2025-04-12T15:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-04-12 15:59:20.725043
3,52,XRP,XRP,xrp,1587,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58338141684.0,99986253154.0,False,,4,,,,2025-04-12T15:58:00.000Z,2.153608816340136,3460796826.83267,-2.4038,-0.21144438,7.53195637,1.43469545,-5.68481343,-12.85077289,-14.53443701,125637536259.5624,4.6411,215360881634.01,,2025-04-12T15:58:00.000Z,,,,,,2025-04-12 15:59:20.725043
4,1839,BNB,BNB,bnb,2465,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,142470658.66,142470658.66,False,,5,,,,2025-04-12T15:58:00.000Z,598.9500124573508,1353686347.1779814,-4.3093,-0.00997923,2.36219212,1.24656269,3.22607215,-6.19594873,-13.78617301,85332802779.21397,3.1522,85332802779.21,,2025-04-12T15:58:00.000Z,,,,,,2025-04-12 15:59:20.725043
